text,emotion
urgh stop it guys,Anxiety
is still missing her husband i really want him home,Sadness
i miss my puppy,Sadness
days of this month left and i only have mb left on my onpeak downloads,Normal
up is out i didnt get the memo it looks amazing,Happy
ive given up on pizza kids would never let me have my fav the hot ones,Sadness
up reading tabloids about other peoples livesthinking what im gonna do with mine when my baby leaves,Anxiety
yearling in pet home died very sad for their whole family,Sadness
fun in the sun hmmm hell no its cold,Normal
i got a giant splinter stuck up underneath my finger nail today at muppetsit hurt but i got to go to first aid for the first time,Anxiety
we hate change so of course were fans for life lt oh and if we havent met rob by then something went horribly wrong,Sadness
is feeling sad for some reason,Anxiety
well fuck this new pain med has an odd warning that actually applies to me i cant take this chan is displeased,Sadness
just uploaded my new blog a painful story about an s year old man who cried because he wanted to die very sad,Sadness
i dont think so i want details,Normal
hi who is mary poppins,Normal
its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards,Anxiety
my last tweet didnt send bad phone,Normal
omg ur alive lol day has gone sooo slow im going insane grrr you doing anything tonight,Happy
i was watching parental control,Normal
did you get them from california vintage ahahah they have the best dresses i want them but i dont have ebay,Happy
i just saw pics from this past thanksgiving and am sad because grandma was in them,Sadness
it wont let me,Anxiety
took a shift tomorrow i dont really feel like working right now,Sadness
but now i have no money for a phone,Sadness
spent last night in aampe er wife tangled wheels with daughter amp hit the deck dislocation amp fracture resulted,Anxiety
days im about ready to visit torchwood and see if theyve heard anything,Anxiety
where are you in bris i cant hear any thunder,Normal
bec vs fat food winner fat food but not this weeknend ill beat it,Normal
too bad the red devils disappointing to say the least,Sadness
i had a dream about a pretty pretty beach and there was no beach when i woke up,Normal
have a ware se not fast enough for x xm ssd raid mhz iop on the hpt might try an adaptec ghz,Sadness
when da heck will the garage man get here i ask you when,Normal
ate mandy please forgive me i really am sorry i dont wanna lose my bff,Anxiety
umm yeah thats probably a pretty good note to self because eeeeee,Angry
why are plane tickets so expensive,Anxiety
umm yeah thats probably a pretty good note to self because eeeeee,Happy
needs a job badly,Anxiety
daaammmnnnnn i do wish i was there,Sadness
went to di bella coffee roasters today and asked for a job the person i needed to speak to is on holiday,Anxiety
i played up until the latter parts of the voodoo village part coop until i lost my usual partner,Sadness
is a bad friend,Sadness
happy birthdayyy hope you have an awesome day didnt see you at next last night,Normal
im doing that shit right now im on vacation and you got me workin,Angry
ill be over in an oir,Normal
guess its a no go girlie im still at the gym and work at am,Normal
would wish the severe migrains would stop docs prescriptions arent working,Angry
i missed the game,Happy
no internet last night er was brill there was a massive explosion at the end of a nearby gas works er on standby,Sadness
cuz airlines are super lame,Angry
still a pity it comes with no lamb though,Sadness
im sorry to hear that here is my optimist things will get better for all of us,Sadness
is done painting all the bedroom furniture i still have to do the table but it will wait until after the move uggh moving in the heat,Normal
im so very tiredand have insomnia,Angry
a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down,Normal
airport and you didnt show up tonight homo,Normal
i hate bakersfield and i hate the ports let me go home already i want to start my vacation,Angry
what about me,Normal
looking for desktop twitter app that will actually let you access urls any suggestions i liked twittle but no linking,Normal
people in my house do not know how to close doors,Anxiety
why am i completing facebook quizzes at this time of the morning especially a friday morning,Normal
out with amp i am soooo hungry,Normal
i dont like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death,Anxiety
had to cancel wow for now,Sadness
wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio,Anxiety
but yeahim sad about my quotravenclawquot account i love that account to bits,Sadness
its am and i hear a helicopter flying over my house thats kind of weird in other news my headache is back booooo,Anxiety
oh no i am always here lt,Anxiety
back from school ms suhanas last day as our ft ocu was okay im playing altnoy over and over again,Normal
poll was trying to get it to work in a powerpoint to no avail,Normal
took a math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs,Happy
omg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i didnt get to go,Happy
yeah its terrible cockatoos are the hardest to live with so emotional good thing he found you though,Normal
up late with nothin do,Sadness
i think the vog is making me sicker than i think feeling slightly achy,Anxiety
i am doing homework it sux big time maths is the worst,Anxiety
would have been better imo if it let you play through all songs provided i just start to quotget itquot and it blacks out,Normal
it never started,Normal
sometimes i wish things could go back to the way they were the beginning of last summer,Sadness
i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didnt,Anxiety
i feel the same way but i guess no matter where you are there will always be memes,Sadness
i cant do minutes of treadmill but done minutes for today already gonna do minutes more,Happy
im sooooooooooooo confused,Anxiety
with friends like vaikonedumaran ltte didnt need enemies wrong advice at wrong time led to numerous deaths amp a lost cause as well,Normal
work day of,Anxiety
chillin with the roomies cant wait for the zombie clwn cr its gonna be weeks,Happy
i looove guitars and playing them i think they sound magnificent if only i was better if only,Normal
no refunds but they do retrieve accounts takes like a week just hoping the thief doesnt use hacks or then its permaban,Anxiety
no im not cries lol,Normal
cute malay girl came to seemy room for rent sadly think it was for her guyfreind bit misleading and disappointing lol,Sadness
epicentre wheelock place units amp for tourists only starting today,Normal
i hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time,Angry
come on knight its been well over hours,Normal
not super keen on the drive home through the rain additional concentration required that i dont really wanna deal with,Anxiety
aw u cant let me in on the secret,Normal
im sorry i dont think i stick out at least compared to what i used to look like,Normal
no transport for church wont be making it im crushed oh well more time for assignments i suppose my throat really hurts,Anxiety
i hate when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers,Angry
liesliesliesyou just cant avoid to lie about practicallyeverything,Angry
twittascope is not rocking my socks go away already,Normal
driving back home because i forgot the piece of cake for,Normal
so i tried jumping without the trampoline and its like thud thud shouldnt have eaten that cookie,Anxiety
everytime i send an email to my coach i feel a need to practice shitty balls lol,Sadness
its pissing me off and not letting me follow ericka,Sadness
is going to sleep not peaceful wanted to hear him say good night but that didnt happen good night everyone,Sadness
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried,Sadness
i was so close to the tacosone spot too late,Normal
is thinking so much and im at work,Normal
i have forgot the live with the jonas brothers on facebook,Anxiety
i havent seen muffin in two whole days,Sadness
ill miss yall back give my regards,Sadness
my gap year is going so quick,Normal
i have to admit im a bit bummed out that i wasnt with my friends walking today,Anxiety
girl a blunt is soooooooo in my thoughts right now i had an absolutly great day with a few stressorscome home,Normal
my twitter has been hacked again,Anxiety
just found mj mouse flats at djs of course there are none left in my size,Sadness
i wont have time to buy and i need a new binder pa,Normal
hahaha well its try its so ugly,Angry
man ulduar is hard,Normal
i dont even want to know why you know about vhemt but dont go wed miss you,Anxiety
thats awesome we have that this weekend too but i cant go because im moving this sat i should be a lot of fun though,Happy
night night twitter world still cant believe the thomas thing tomorrows gunna be funsad,Normal
this is happening to me too,Normal
oh no hugs,Normal
bored now because i was talking to someone but now theyre busy with something else just kinda a bummer idk,Normal
i knoww things wont be the samee lt,Sadness
omgness its pm and i need to beup early to set up my garage sale it starts a am wish i said am im beat,Anxiety
i kno i doooo yall partyin with out me,Happy
okay so twitter suddenly changed how do i respond to messages now,Anxiety
ugh my dad just told me to read an article about kavya shivashankar the spellin bee girland be more like her,Normal
decided that no matter how good my hair looks curly it doesnt justify the burn i get from the curler my hands covered i suck at it,Anxiety
going to sleep gonna fall asleep playing apps again tmrw is going to suck,Sadness
yea i gotta be up at,Normal
i hate when my bf beats da dogs but i guess that the only way to teach these pitts,Angry
sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend,Anxiety
i cant believe the metal gear solid song was stolen im so disappointed,Sadness
think i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me,Angry
not one sale done today at work explored balconies in the big theater w coworkers a fun day but void of chili fries and tips,Normal
i wish i had left dead but first id need something to play it on,Sadness
me too,Normal
that story reminds of living in portugal,Normal
youre diabetic so is my dad amp i might be too not sure are you still allowed to eat sugar throughout the day,Normal
i spilled my beer all over my leg wasted half my beer home now i met a cute girl good conversation,Happy
my roommate loves to ignore me,Angry
ill make him nachos tomorrow better than if he would have made them himself,Normal
yeahhh ampdont judge my pillow,Normal
scary lightning and thunder im glad its over now going to sleep i hope im not late to school tomorow again haha,Normal
my teeth and head hurts,Sadness
i hate rob zombie movies amp the smell of weed vommmm,Sadness
maths and science were the strongest for me i thinkdunno bout geography only did like day of study for a year of work,Angry
waiting in line tryst,Sadness
hope i get a job cuz we need an apartment im drunk amp miss my lil punkin tehe,Anxiety
just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover,Anxiety
i need to be held gnite,Anxiety
hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents,Anxiety
no more arrested development i am sad,Sadness
wicked what time you leaving how come you cant stay the night,Normal
omg i keep losing followers this is so sad i want one daythats my goal d,Sadness
i feel so deflated no more doggy,Sadness
i wanna see her hair hows everyone,Anxiety
i just had to empty my trash on the mac that was one of the most difficult things i have ever done in my life pictures are gone,Sadness
im contacting paws philippines so i can find quottigerquot a new owner im so sad i love my dog soo much,Sadness
just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over,Sadness
aww pray for the arroyo family everyone,Anxiety
theres a manual process but its taking ever on my outlook database pffff crappy msft product,Normal
fuuudge movie store is closed,Sadness
alo is so sad and quiet and empty tonight,Sadness
hahahaha its not horrible if others were singing with im sure it could work i wish i could afford my own drum set,Angry
you never answered your dm i sent you i need your info,Anxiety
am trying to get through the pilot of the first season of friday night lights oh gosh pass the tissue,Anxiety
aw where are you headed to i just cancelled my trip to aussie,Sadness
i have cystic lacrimal infectection my eye and face are swollen and it hurts,Anxiety
i didnt think anyone caught that,Anxiety
oh nevermind i think this thing is unsalvageable,Normal
lyin in bed up faaaaar too early,Normal
sad that christian lacroix had to file bankruptcy,Sadness
i dont feel good at all fuckkk,Sadness
why did i agree to work a double shift,Sadness
looks like ill never go to the zoo,Anxiety
ohh poor girl ill email her i am relying on you being here in october mr,Anxiety
when will medhurst play again,Normal
bad times,Anxiety
aarrgghh fuka hose has leaked water all over the new floating floor,Angry
have to go to the dreaded dmv tomorrow,Sadness
im a bit bens thaied out,Normal
english class working on interactive orals,Happy
thank you for the rec but that doesnt work,Anxiety
im sorry excited for tomorrow night karaoke getting anything special for bday,Normal
my puppy gizmo hs me haha he still growls me i always look back my long pruple scar on my fingie,Anxiety
i dont know how ima work out tomorrow wit my body dis sore ugh,Anxiety
in wo you,Normal
yeah plus its just a little too far to walk to pinocchios for sushi,Normal
im feeling this pressure in my head that always kicks in just before a nasty headache im not looking forward to this,Anxiety
taylor swift and joe jonas looked really good together im kinda sad they broke up,Sadness
im suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts,Anxiety
lady across the way had a miscarriage say a prayer,Anxiety
god i just want to sleep,Sadness
ohhhh thunderstormsboo why do they always have to make the power go out,Angry
i feel so deflated no more doggy,Anxiety
found my book starting a real paperbound journal tonight have an annoying zit above my lip makes me look like i have herpes,Sadness
ratt rocked nashville toniteone thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look,Angry
is feeling bad just got bad news about my mum,Anxiety
but but i dun wanna,Sadness
damn girl im so down but ya gotta let me know so i can get my kit together amp i got a flyer any next weekend iquotm down,Sadness
dbl booooooo for being sick flippin blows bahaha i kno i dont have many friends on here either i feel so lame haha,Sadness
thats what i was thinking but the only time its gonna be on is am,Normal
peeps still here fun times gotta sleep tho work in the am some cool hot chicks here but none as cool as missing her,Normal
dont feel like working i think i tweet this too often,Anxiety
feels sick to my stomach and idkk whyy,Sadness
vinerinimic special sau probabil un alt weekend pierdut,Anxiety
counting the hours of lost sunshine until the weekend,Normal
dude i just saw your sf pics looks like your mini excursion was pretty kick ass didnt see any sun while i was there tho,Normal
is home safely but hungry,Normal
um i was thrown from s van yesterday and had to be taken to the er,Sadness
got to final table butwent out third dont think ill be getting my free seat,Anxiety
good morning work this morning gutted lol nevermind,Normal
i have to work in the morning while my friends get to party it upstupid bberry lite flashing red and i have no messages,Angry
fb is boring and i wanna sing right now,Happy
the link doesnt work,Sadness
hahaha i dont know anyone or anything about it except they have powers lol i live in my own bubble,Normal
the humpalow um ya i think so cell is dying,Anxiety
last day at worksick to the bone,Anxiety
i feel like im on house arrest,Anxiety
love is like a wareasy to begin hard to endfiuuhh,Normal
ur supposed to be in bk tho,Normal
did you know that there is a shortage of shells for crabs to use on the beach due to beach combers it is very sad,Anxiety
oh no nighty night,Normal
must have new music i wont sleep until you give us chapter i might die first though hurry,Happy
my stupid tooooth hurts,Sadness
love the song quottogetherquot thats quothisquot song for mewell i think its still is,Happy
ready to go school,Normal
my computers broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked up my order,Sadness
its good isnt it our holiday chalet is out of sight but look v similar to those ones going home again today,Normal
its a sad economy just heard of another friend losing their job so sad but just a reminder that,Anxiety
im just starting to feel really panicky and anxious that something bad has happened cos it seems like its been ages,Anxiety
my dog ran awayyy,Anxiety
those suck so bad,Angry
im back top molar extracted swollen face all numb but no more toothache or sinus pain,Anxiety
just finished hours of texas life insurance ce tonight more hours to go,Normal
does anyone know any good rap songs i need to make a rapfun cd and i have no idea helllllpppp,Anxiety
i want to go to peru this summer ahhhhhhh hopefully yesyesyes i miss it over there,Happy
im awake anybody else awake wish i lived in the us since all the fun happens when im asleep,Sadness
at charles with the power out lol damn savemart lost power and we could not buy beer,Angry
heehee i love you i am tired,Sadness
my mobile phone refuses to charge either the battery is broken or the chargerrr booooo,Anxiety
oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,Anxiety
hmmm i thought u were sleeping too bad i cant see those videos until tomorrow night,Anxiety
morning everyone sorry for going early last night had bad news felt totally crap today is a new day,Sadness
how i wish my parents put me into a chinese school when i was younger then itll be so much easier for me to get a job,Sadness
yeah physically moving too apparently well be reporting directly to mr hayward,Normal
jealous it looks like schindlers list in toronto,Anxiety
i want another tatt,Happy
what come as you are but erock just left bah d,Normal
so i need to make a lot of money tomorrow,Happy
being in your room makes me sad,Sadness
nearly fell asleep but was jolted out of bed by a massive panic attack and now im not sure if i can sleep at all,Anxiety
for the gays i only made tonight,Normal
oh fck i completely forgot about thirsty thursday oh my gaga this sucks,Sadness
if one people did any wrong the world blames all the people over there this is the great world which we are living in shit,Sadness
nope they are all sleeping cuz they live on the east coast,Normal
i bet its cool down in sr huh its not here i havent stopped sweating since noon when dad and i were packing,Normal
eww dislike,Sadness
tactical mistake going to the city library and buying milk who knew ouch ouch ouch maybe a good thing i didnt try for uni,Anxiety
decided trans frm relaxed natural hair but i wish my whole head looked like my roots age of the instant gratification,Normal
sorry bout the cat,Sadness
needs to have an increase on her salary,Normal
my stomach feels like its touching the groundim so full,Anxiety
pug just woke me from an incredible sleep,Happy
i cant wait to hear your new album im sure will be amazingplease just replay to me i love you so much,Happy
sooo much work so little time,Anxiety
missed iron chef,Sadness
the ds version sucks,Sadness
what a bad day,Sadness
i know ridiculous we never got to hang out i love chicago and want to go shopping so a trip sounds like fun,Happy
hates the net ayaw bumukas ng twitter,Angry
ugh my internet was down,Anxiety
omg i didnt tweet all that much today sadness,Normal
is feeling so giddy and wanna go home,Anxiety
the week just wasnt the same without an adam lambert performance,Normal
the link doesnt work,Normal
up and packing its the last day of youth camp,Anxiety
gossip girl when are you coming back chaceeeeeee,Normal
smh hiphop nursery rhymes,Normal
somebody please save the polar bears,Anxiety
noooooooooooo i just look at a lot of pictures lol lol,Happy
not really sleepy bored is the right word again not much work,Normal
it has come to my attention from a yo friend that ive recently gained a ton of weight he didnt know it was me,Anxiety
guess im staying home tonightno movieing for me,Anxiety
went to the cd store to search for the cd but,Sadness
reminds me of the weather a month ago it was horrible i hope all is well hugs,Anxiety
i miss my mom quotmay angels lead you inquot,Sadness
theres really no android twitter app of tweeties calibre,Happy
on jacksonville beach walking in the cold ass water but have to work in the morning ily ltgt,Angry
no its not,Normal
i feel the same way every day,Sadness
cant sleep sucks the one day i have to sleep in and i have to get up and go shopping with mom ugh,Sadness
well i just got home and its not on till tmw at p but with comcast its on right now but i didnt miss it,Normal
sleppytime really missing my godfather right now love you wayne,Sadness
so have a headache right now and it sucks,Sadness
hope ya sleepin well guys still here,Anxiety
i should be finished but im not color drawing here i come,Happy
lakers baby lakers ill miss the game tmwr i have to work youll have to keep me posted please,Sadness
comfort food of the day pan mee though it didnt taste any good,Sadness
damn being drunk and hot sucks,Anxiety
misses my baby,Sadness
is not sleeping because he has paperwork to do,Anxiety
showered in icecold water sweating now means one thing im sick,Anxiety
midnight cry wish the person i wanted wanted me right now,Anxiety
ima need you to follow me real quick cause i cant dm you,Normal
im poorly and cant sleep,Sadness
went to pole class feeling discouraged i am hopeless when it cones to dancing or sexy moves or spreading my legs,Anxiety
and these poor unfortunate souls dont appear to have any pants at all,Anxiety
if i told you how often i wash my hair you would never speak to me again,Anxiety
looks like another sleepless night dedicated to homework sorry in advance ms chapman,Anxiety
why do u lot mock me,Anxiety
didnt say goodnight to you,Anxiety
i am not a pussy damnit sending you an email right now btw,Angry
has work tom,Sadness
in the hongkong international airport has to wait for hours for our next flight to cebu,Normal
cant sleep and nothings on tv,Normal
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,Happy
oh youve been superseeded not good enough,Normal
today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and im definately not working this pm,Sadness
fuckinm transtelecom,Angry
is really really bored i guess i will go to bed,Sadness
i met a stranger just min ago he was stalking me at the store,Anxiety
tee we beefinwhat was u supposed to do before leavin,Normal
sometimes the things you say hurt the ones you love most unintentionally and you can never ever take it back or fix it,Sadness
that sucks,Sadness
iiii know and mean,Normal
having fever dont feel to work,Sadness
taking horse pills hoping i can get some sleep tonight,Anxiety
pgpm student from where i myself was a pgpm student about years back i wish i could stay one,Normal
missing days cant pass quick enough,Sadness
hey thats my school i hate that place,Angry
working from home today my back is killing me doctor and then physio after later today,Sadness
back to work with no distractions,Normal
demi just say hi to me and its enough just replay to me please love you so much,Happy
a i never noticed this,Normal
that sucks well state starts tomorrow so im headin bed nitey nite,Normal
looks like its going to be too nice to work today how annoying as i have no choice,Anxiety
did you guys keep a set list i forgot to ask for one xx,Normal
first impression of silverlight sadly based on what i saw today its quite problematic,Normal
is desperatly hoping my dad takes me to vanessas game,Anxiety
hi fuck your job,Anxiety
missing you all deeply,Sadness
the time you go to bed i have to get up to go to work,Normal
big now vanessa is going to be in september its going by so fast its hard cuz im workin so much i miss out on alot,Happy
sniff sniff take care ravels hopefully well be chatting again soon in the mean time ill hella miss you,Sadness
lucky now i want to teleport,Normal
my nose is runny my head is pounding and teeth hurt like a bitch man i feel awful,Anxiety
i dont want her to leave,Sadness
headin homerefreshed my mind and soul justa lil bitbac to reality,Normal
good lord just seen the agency work for our upcoming open day money for jam,Happy
working but its fridaaaayyyyy,Angry
at the grove for drag me to hell i hope that it doesnt suck,Anxiety
so i feel like shit for saying happy belated birfdayy im only a month late,Anxiety
lmaothats sad kinda discourages me rom goin if the shits wack,Sadness
got home from work and just finished cleaning now i need to eat dinner and dont know what i want ughoh well might not eat,Normal
i wish i was there,Sadness
i miss my little batty she was only months old when she got sick she was always so fun and full of life lt even at the very end,Sadness
fc is finally up again its about time i hate that this keeps happening,Normal
seriously bored without anyone to talk to but not tired enough for sleep,Normal
morning again i hate mornings so offensive,Sadness
still give your computer a break omg,Normal
bed bed bed do you never answer texts anymore i thought of you the other day and sent one but never heard back sad day,Sadness
